L,parratt_trace,kinematic_trace
4.948963317384366678e-01,4.881177381527163073e-02,5.895108507400267234e-02
4.964912280701750946e-01,4.789915685941838891e-02,5.895108507400267234e-02
4.980861244019135214e-01,4.700360278907436684e-02,5.895108507400267234e-02
4.996810207336519483e-01,4.612479258533456333e-02,5.676731596130651231e-02
5.012759170653904306e-01,4.526241319388087797e-02,5.068950296608009526e-02
5.028708133971288019e-01,4.358572378647117967e-02,4.526241319388087797e-02
5.044657097288672842e-01,4.358572378647117967e-02,3.891920267392945387e-02
5.060606060606057666e-01,4.317634761906156970e-02,3.819154372010951509e-02
5.076555023923441379e-01,4.317634761906156970e-02,3.795202668205029800e-02
5.092503987240826202e-01,4.277081649153847975e-02,3.700888585366363115e-02
5.108452950558209915e-01,4.197114523817271903e-02,3.700888585366363115e-02
5.124401913875594738e-01,4.079958425724005550e-02,3.700888585366363115e-02
5.140350877192979562e-01,3.928821475827391774e-02,3.700888585366363115e-02
5.156299840510363275e-01,3.747748955561452239e-02,1.778279410038922759e+00
5.172248803827748098e-01,3.575021751517486190e-02,1.778279410038922759e+00
5.188197767145131811e-01,3.508180798752148777e-02,1.778279410038922759e+00
5.204146730462516635e-01,3.442589548303915531e-02,1.795140150921594735e+00
5.220095693779900348e-01,3.315063130192367341e-02,1.795140150921594735e+00
5.236044657097285171e-01,3.253082534408510695e-02,1.795140150921594735e+00
5.251993620414669994e-01,3.162277660168379134e-02,1.795140150921594735e+00
5.267942583732053707e-01,3.132576166276781343e-02,1.795140150921594735e+00
5.283891547049438531e-01,3.103153641797168696e-02,1.795140150921594735e+00
5.299840510366822244e-01,3.103153641797168696e-02,1.812160756773465442e+00
5.315789473684207067e-01,3.074007466526896409e-02,1.812160756773465442e+00
5.331738437001591890e-01,3.045135044873411787e-02,1.812160756773465442e+00
5.347687400318975603e-01,2.932331831045617912e-02,1.339828403535913592e+00
5.363636363636360427e-01,2.770913386803352391e-02,1.278078052382315644e+00
5.379585326953744140e-01,2.693567534382573445e-02,1.278078052382315644e+00
5.395534290271128963e-01,2.618380674341415013e-02,1.230733251673325590e+00
5.411483253588513787e-01,2.593787698656702806e-02,1.207722655134462642e+00
5.427432216905897500e-01,2.545292541676011377e-02,1.207722655134462642e+00
5.443381180223282323e-01,2.474244553588842224e-02,1.207722655134462642e+00
5.459330143540666036e-01,2.451005367346472189e-02,1.207722655134462642e+00
5.475279106858050859e-01,2.338042810564146951e-02,1.254182266379491706e+00
5.491228070175435683e-01,2.316082890620693377e-02,1.302429121962335179e+00
5.507177033492819396e-01,2.294329227843167757e-02,1.302429121962335179e+00
5.523125996810204219e-01,2.294329227843167757e-02,1.302429121962335179e+00
5.539074960127587932e-01,2.294329227843167757e-02,1.302429121962335179e+00
5.555023923444972755e-01,2.230286500738602393e-02,1.302429121962335179e+00
5.570972886762356469e-01,2.168031429409508423e-02,1.254182266379491706e+00
5.586921850079741292e-01,2.107514114151173845e-02,1.141240168396790766e+00
5.602870813397126115e-01,2.010382469332666275e-02,1.119902793272474995e+00
5.618819776714509828e-01,1.935910368679669147e-02,1.068288429403216222e+00
5.634768740031894652e-01,1.864196993722042409e-02,1.019052881421936396e+00
5.650717703349278365e-01,1.829342743352860984e-02,8.598569967363346445e-01
5.666666666666663188e-01,1.778279410038922925e-02,6.297676208532171360e-01
5.682615629984048011e-01,1.728641432371762557e-02,5.839739071778495827e-01
5.698564593301431724e-01,1.696321617735579643e-02,5.784889690095889048e-01
5.714513556618816548e-01,1.648971367768035587e-02,5.623413251903490728e-01
5.730462519936200261e-01,1.648971367768035587e-02,5.313856670058547671e-01
5.746411483253585084e-01,1.633483507981373095e-02,5.021340499983288908e-01
5.762360446570969907e-01,1.633483507981373095e-02,4.881177381527161963e-01
5.778309409888353620e-01,1.618141116942961935e-02,4.744926704335555856e-01
5.794258373205738444e-01,1.529065992874129032e-02,4.612479258533457305e-01
5.810207336523122157e-01,1.472423658261951332e-02,4.569156837403883786e-01
5.826156299840506980e-01,1.431323180883200055e-02,4.399898145047984044e-01
5.842105263157891804e-01,1.391369961110153208e-02,3.315063130192367757e-01
5.858054226475275517e-01,1.352531974983534405e-02,3.162277660168379412e-01
5.874003189792660340e-01,1.339828403535913391e-02,3.074007466526896826e-01
